Event	ID	Name			Wwise Object Path	Notes
	17302528	Launch			\ALL_EVENTS\SFX\Items\Launch	
	17678017	UI_Menu_Nav			\ALL_EVENTS\SFX\UI\Menu\UI_Menu_Nav	
	28914597	UI_Hold			\ALL_EVENTS\SFX\UI\Menu\UI_Hold	
	124719886	Balloon_Pop			\ALL_EVENTS\SFX\Enviro\Balloon_Pop	
	352666449	stun			\ALL_EVENTS\SFX\Chara\Mov\stun	
	628995931	Boy_TakingDamage			\ALL_EVENTS\SFX\Chara\Voice\Boy_TakingDamage	
	763287926	Girl_Attack			\ALL_EVENTS\SFX\Chara\Voice\Girl_Attack	
	922786755	UI_Menu_Back			\ALL_EVENTS\SFX\UI\Menu\UI_Menu_Back	
	962867917	Music_Fight			\ALL_EVENTS\Music\Music_Fight	
	1076559162	Boxing_Glove			\ALL_EVENTS\SFX\Items\Boxing_Glove\Boxing_Glove	
	1182307792	SoundBar_LVL_3			\ALL_EVENTS\SFX\UI\Party\SoundBar\SoundBar_LVL_3	
	1182307793	SoundBar_LVL_2			\ALL_EVENTS\SFX\UI\Party\SoundBar\SoundBar_LVL_2	
	1182307794	SoundBar_LVL_1			\ALL_EVENTS\SFX\UI\Party\SoundBar\SoundBar_LVL_1	
	1505888634	Countdown			\ALL_EVENTS\SFX\UI\Party\Countdown	
	1604317996	UI_Colors_Nav			\ALL_EVENTS\SFX\UI\Party\UI_Colors_Nav	
	1719710198	GrabObject			\ALL_EVENTS\SFX\Chara\Interac\GrabObject	
	1942692385	Dash			\ALL_EVENTS\SFX\Chara\Mov\Dash	
	2381661991	Balloon_Idle			\ALL_EVENTS\SFX\Enviro\Balloon_Idle	
	2398231425	Score			\ALL_EVENTS\SFX\UI\Party\Score	
	2429118665	UI_Colors_Select			\ALL_EVENTS\SFX\UI\Party\UI_Colors_Select	
	2476125396	SwitchObject			\ALL_EVENTS\SFX\Chara\Interac\SwitchObject	
	2746646177	PistoGum_Shoot			\ALL_EVENTS\SFX\Items\PistoGum\PistoGum_Shoot	
	2848349012	Crowd			\ALL_EVENTS\SFX\AMB\Crowd	
	3474566310	UI_Menu_Select			\ALL_EVENTS\SFX\UI\Menu\UI_Menu_Select	
	3713424412	Hit_Wout_object			\ALL_EVENTS\SFX\Items\Hit_Wout_object	
	3720092048	Boy_Attack			\ALL_EVENTS\SFX\Chara\Voice\Boy_Attack	
	3981149377	Girl_TakingDamage			\ALL_EVENTS\SFX\Chara\Voice\Girl_TakingDamage	

Switch Group	ID	Name			Wwise Object Path	Notes
	2848349012	CROWD			\Default Work Unit\CROWD	

Switch	ID	Name	Switch Group			Notes
	561016172	Shh	CROWD			
	888960820	Reaction	CROWD			
	1836277870	Conitnious	CROWD			

State Group	ID	Name			Wwise Object Path	Notes
	314125497	Round_State			\Default Work Unit\Round_State	

State	ID	Name	State Group			Notes
	505373590	ReadyScreen	Round_State			
	748895195	None	Round_State			
	1580246308	Phase_Danger	Round_State			
	1622949420	Phase_3	Round_State			
	1622949421	Phase_2	Round_State			
	1622949422	Phase_1	Round_State			
	2607556080	Menu	Round_State			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1629633035	SoundBar_Value			\Default Work Unit\SoundBar_Value	
	2172078744	Hold_Fct			\Default Work Unit\Hold_Fct	

Effect plug-ins	ID	Name	Type				Notes
	692183022	RoomVerb (Custom)	Wwise RoomVerb			
	747094273	Parametric EQ (Custom)	Wwise Parametric EQ			
	783421837	Parametric EQ (Custom)	Wwise Parametric EQ			
	1028753363	Gain (Custom)	Wwise Gain			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	16349992	hit_2	.cache\EB\{EB04D2AD-54E3-CDFA-C375-9664AA9AA3B7}.wem		\Containers\Blare_of_Brats\SFX\Chara\Items\Hit_wout_object\Big_Impact\Hit\hit_2		34896
	20560296	UI_SoundBar_Shhh	.cache\7B\{7B15812A-8901-5D2E-B933-6A78FA8EA862}.wem		\Containers\Blare_of_Brats\SFX\AMB\CROWD\UI_SoundBar_Shhh		335640
	28070643	stun	.cache\67\{673CF113-030A-FEEB-0DC6-E9E2B9E51D27}.wem		\Containers\Blare_of_Brats\SFX\Chara\Mov\stun		255420
	30562399	swoosh_rotation_2	.cache\6C\{6C97DB69-0B78-5DA8-C79D-47FFE0C22FD3}.wem		\Containers\Blare_of_Brats\SFX\Chara\Items\Launch\Launch\swoosh_rotation_2		84104
	31521035	Voice_Girl_TakingDamage_1	.cache\60\{6080526A-9468-68EE-E69C-AEAA6D253D12}.wem		\Containers\Blare_of_Brats\SFX\Chara\Voice\Girl\Girl_Voice\Girl_TakingDamage\Voice_Girl_TakingDamage_1		77544
	71385639	UI_Colors_Nav	.cache\B2\{B270214A-7885-4F88-B1A4-9CC94D413317}.wem		\Containers\Blare_of_Brats\SFX\UI\Party\UI_Colors_Nav		11868
	87882912	Voice_Boy_Attack1	.cache\89\{898B6F33-5F59-2F92-0B99-EB0599D769F5}.wem		\Containers\Blare_of_Brats\SFX\Chara\Voice\Boy\Boy_Voice\Boy_Attack\Voice_Boy_Attack1		33928
	108175889	Balloon_Idle	.cache\F3\{F3CA22C5-733D-F3EB-E778-B37E508690C3}.wem		\Containers\Blare_of_Brats\SFX\Enviro\Props\Balloon_Idle\Balloon_Idle		104640
	110599142	Music_Menu	.cache\1F\{1FEE5EAD-EFBC-2306-548E-7EE5F762D4A9}.wem		\Containers\Blare_of_Brats\Music\ALL_Music\Menu\Music_Menu\Music_Menu		10865280
	114852343	UI_SoundBar_lvl3_v1	.cache\15\{1591CCEC-68D0-F71A-05BA-9384AC706492}.wem		\Containers\Blare_of_Brats\SFX\UI\Party\Soundbar\SoundBar\UI_SoundBar_lvl3_v1		41636
	120430976	Voice_Boy_Attack_2	.cache\BF\{BF9E2800-25C4-B7F7-1125-A65D7C608D8F}.wem		\Containers\Blare_of_Brats\SFX\Chara\Voice\Boy\Boy_Voice\Boy_Attack\Voice_Boy_Attack_2		34820
	149065224	Chara_Mov_Dash_v1_01	.cache\E2\{E29E5276-C3CA-885C-835D-7EB033BD7D10}.wem		\Containers\Blare_of_Brats\SFX\Chara\Mov\Dash\Chara_Mov_Dash_v1_01		73616
	195267026	Menu_Back	.cache\20\{205513AB-2741-CB1F-8DB4-2D3F220CA1EA}.wem		\Containers\Blare_of_Brats\SFX\UI\Menu\Menu\Menu_Back		26892
	206483376	L_Impact_3	.cache\A0\{A02F486A-55C7-A407-E679-0BE4A3D10450}.wem		\Containers\Blare_of_Brats\SFX\Chara\Items\Hit_wout_object\Big_Impact\Layer_Impact\L_Impact_3		64704
